PARK,AREA,CLUBNAME,LEAGUE,
HERBERT,SOUTH EAST,HARDING F.C.,UNITED CHURCHES FOOTBALL LEAGUE,
JOHNSTOWN,NORTH WEST,GLASNAION F.C,UNITED CHURCHES FOOTBALL LEAGUE,
ST ANNES,NORTH CENTRAL,STRAND UNITED A.F.C.,UNITED CHURCHES FOOTBALL LEAGUE,
ST ANNES,NORTH CENTRAL,DOLLYMOUNT FC SENIORS,UNITED CHURCHES FOOTBALL LEAGUE,
ST ANNES,NORTH CENTRAL,SCHALKE ROVERS,UNITED CHURCHES FOOTBALL LEAGUE,
ST ANNES  ,NORTH CENTRAL,ST ANNES UNITED,UNITED CHURCHES FOOTBALL LEAGUE,
BRICKFIELDS,SOUTH CENTRAL,CENTRAL F.C,UNITED CHURCHES FOOTBALL LEAGUE,
BRICKFIELDS,SOUTH CENTRAL,RIALTO MADRID,UNITED CHURCHES FOOTBALL LEAGUE,
BRICKFIELDS,SOUTH CENTRAL,AFC JUSTICE,UNITED CHURCHES FOOTBALL LEAGUE,
DONAGHMEDE,NORTH CENTRAL,SEAVIEW CELTIC,UNITED CHURCHES FOOTBALL LEAGUE,
FARNHAM,NORTH WEST,AMBER CELTIC,UNITED CHURCHES FOOTBALL LEAGUE,
FR. COLLINS,NORTH CENTRAL,SEAVIEW CELTIC,UNITED CHURCHES FOOTBALL LEAGUE,
LE FANU,SOUTH CENTRAL,CHAPELIZOD F.C.,UNITED CHURCHES FOOTBALL LEAGUE,
ST ANNES,NORTH CENTRAL,SAN MARINO,UNITED CHURCHES FOOTBALL LEAGUE,
ST ANNES,NORTH CENTRAL,CONWELL ROVERS,UNITED CHURCHES FOOTBALL LEAGUE,
ST ANNES ,NORTH CENTRAL,CLONTARF ATHLETIC,UNITED CHURCHES FOOTBALL LEAGUE,
ST ANNES ,NORTH CENTRAL,WHITE STAR ROVERS,UNITED CHURCHES FOOTBALL LEAGUE,
STANNAWAY,SOUTH CENTRAL,SHIELTON ATHLETIC F.C,UNITED CHURCHES FOOTBALL LEAGUE,
WALKINSTOWN,SOUTH CENTRAL,CASTLE CELTIC,UNITED CHURCHES FOOTBALL LEAGUE,
ST ANNES ,NORTH CENTRAL,F.C AILESBURY UTD.,UNITED CHURCHES FOOTBALL LEAGUE/AMATEUR FOOTBALL LEAGUE,
BELCAMP,NORTH CENTRAL,SPORTING METRO F.C.,UNITED CHURCHES FOOTBALL LEAGUE,
ST ANNES,NORTH CENTRAL,CLONTARF F.C (SENIORS),UNITED CHURCHES FOOTBALL LEAGUE,
